,@id,type,lastUpdate,nom,schema:email,schema:telephone,typeContact,foaf:homepage,Description,schema:geo.schema:latitude,schema:geo.schema:longitude,Ville,CodePostale,Departement,Region,Close,Open,validFrom,validThrough
0,https://data.datatourisme.fr/13/000fac17-cff9-3918-a3d6-8edc919c8533,Store,2022-08-11,['Calvi Jet Locations'],['calvijet@gmail.com'],['+33 6 26 17 04 97'],"['foaf:Agent', 'Agent']",['https://www.calvi-jet.fr/'],"Lors de vos vacances en corse, les amateurs de sports nautiques et de sensations fortes pourront partager un moment inoubliable... à Calvi
Promesse d'une rencontre avec... Pierre et Ghjulia",42.555104,8.761533,Calvi,20260,Haute-Corse,Corse,20:30:00,08:00:00,2023-05-01T00:00:00,2023-10-31T23:59:59
1,https://data.datatourisme.fr/13/016f3145-67f8-33c3-9293-109b420a9104,SportsAndLeisurePlace,2023-04-01,['Promenades du Golfe'],['promenadesdugolfe.ulysse@gmail.com'],"['+33 6 15 07 34 68', '+33 6 21 09 21 41']","['foaf:Agent', 'Agent']",['https://www.promenadesdugolfe.com/'],"Promenades au rythme d'antan à bord d'Ulysse classé au patrimoine national ! Sorties en mer en dehors des circuits touristiques, repas à bord, barbecue, paddle, snorkeling, pêche à la palangrotte. Le soir apéritif dinatoire et retour sous les étoiles.",41.590132,9.283183,Porto-Vecchio,20137,Corse-du-Sud,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
2,https://data.datatourisme.fr/13/018c05e0-d6c7-34b8-b42d-5f29245d99f2,Store,2022-07-06,"[""Bureau d'Information Touristique de la Citadelle""]",['tourisme@balagne-corsica.com'],['+33 4 95 65 16 67'],"['foaf:Agent', 'Agent']",['https://www.balagne-corsica.com/'],"En saison, le Bureau d'Information Touristique vous accueille à l'entrée de la Citadelle de Calvi du XIIIème siècle.",42.568,8.7595,Calvi,20260,Haute-Corse,Corse,,,2023-06-06T00:00:00,2023-09-30T23:59:59
3,https://data.datatourisme.fr/13/019b2930-944c-3019-8e9a-9fa4aaf10797,CulturalSite,2022-05-20,['U casteddu d’Araghju'],,['+33 4 95 70 09 58'],"['foaf:Agent', 'Agent']",,"Forteresse cyclopéenne, aux remparts démesurés, plus de 2 mètres de largeur pour certains, le casteddu d’Araghju domine depuis plus de 4000 ans, la vaste plaine qui s’étend sous ses pieds offrant une vue imprenable le golfe de Porto-Vecchio.",41.656311,9.279691,San-Gavino-di-Carbini,20170,Corse-du-Sud,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
4,https://data.datatourisme.fr/13/0278689c-4ed8-3c84-8877-0e9a86826f8e,HolidayResort,2023-02-06,['Belvédère de Palombaggia'],['infopalombaggia@gmail.com'],['+33 4 95 70 95 70'],"['foaf:Agent', 'Agent']",['http://www.palombaggia.com/'],"A 900 mètres de la plage de Palombaggia, résidence de 16 mini-villas :
Pour 2 personnes - 55m² - 1 chambre climatisée et 1 salle d'eau ;
Pour 4 personnes - 65m² - 2 chambres climatisées et 2 salles d'eau.",41.564,9.3193,Porto-Vecchio,20137,Corse-du-Sud,Corse,,,2023-04-07T00:00:00,2023-11-05T23:59:59
5,https://data.datatourisme.fr/13/02a62a16-35f5-3f66-a2e9-e9867fc058c8,HolidayResort,2022-08-10,['Résidence Capra Scorsa'],['corsalys.vacances@orange.fr'],"['+33 4 95 36 13 87', '+33 9 62 05 99 52']","['foaf:Agent', 'Agent']",['http://www.odalys-vacances.com/'],"Situé à 500m de la magnifique plage de Losari, la résidence Capra Scorsa vous propose des appartements entièrement équipés et climatisés. Vous profiterez de la piscine pour vos moment de détente en famille.",42.635161,9.019568,Belgodère,20226,Haute-Corse,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
6,https://data.datatourisme.fr/13/03029151-dc30-3bd5-bcb5-f9d11cd3a8b8,SportsCompetition,2022-11-28,['International de pétanque - Le Paoli'],,,"['foaf:Agent', 'Agent']",['https://www.spirb.fr/'],"Cette année, venez assister et participer au 10e International de pétanque Le Paoli à L'Île-Rousse. Un rendez-vous à ne pas rater pour tous les amoureux de la pétanque.",42.634253,8.937518,L'Île-Rousse,20220,Haute-Corse,Corse,,,2023-09-22T00:00:00,2023-09-24T23:59:59
7,https://data.datatourisme.fr/13/036f1d3c-de42-3cf8-9556-493ac595b82d,HolidayResort,2023-02-06,['Les Terrasses de Rondinara'],['terrasses@rondinara.fr'],"['+33 4 95 24 28 45', '+33 6 83 57 86 24']","['foaf:Agent', 'Agent']",['http://www.lesterrassesderondinara.com/'],"Villas haut de gamme, avec vue mer d'exception, en plein cœur du maquis.
La résidence vous accueille au sein d'un domaine niché dans la sérénité du maquis corse et à proximité de la magnifique plage de Rondinara. Chaque villa offre une décoration soignée.",41.477,9.2676,Bonifacio,20169,Corse-du-Sud,Corse,,,2023-04-08T00:00:00,2023-10-31T23:59:59
8,https://data.datatourisme.fr/13/03f2b051-1a14-384a-9fea-398f41680bb5,Store,2022-07-11,['Beluga Diving'],['info@beluga-diving.com'],['+33 6 82 04 95 10'],"['foaf:Agent', 'Agent']",['http://www.beluga-diving.com/'],"Découvrez L'Ile-Rousse et le Balagne par les fonds sous-marins avec le Centre de plongée Beluga Diving de L'Ile-Rousse. Au programme, des activités pour les petits et les grands que vous soyez débutants ou amoureux de la découverte sous-marine.",42.640551,8.935447,L'Île-Rousse,20220,Haute-Corse,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
9,https://data.datatourisme.fr/13/049ce2bc-8084-362e-9106-a0207123c0dd,CampingAndCaravanning,2023-03-13,['Camping Ranch Cantarettu'],['martelli.antoine@wanadoo.fr'],"['+33 6 11 43 51 86', '+33 6 15 21 07 20']","['foaf:Agent', 'Agent']",['http://www.camping-location-ranch.com/'],"Pour votre séjour en camping en Balagne, Cantarettu vous propose un séjour idéal au cœur de 5 hectares de chênes verts et de nombreuses activités pour toute la famille. En plus, le restaurant et ses spécialités à déguster sous les eucalyptus.",42.603158,8.884512,Aregno,20220,Haute-Corse,Corse,,,2023-04-01T00:00:00,2023-09-30T23:59:59
10,https://data.datatourisme.fr/13/04e6e5e4-03d2-3044-a891-95e20ceb42f5,Store,2023-03-27,"[""Chasse au trésor dans L'Ile-Rousse pour les enfants""]",['resa@ileroussetourisme.com'],['+33 4 95 60 80 14'],"['foaf:Agent', 'Agent']",,"Pendant les vacances, chaque mardi, l'Office de Tourisme de L'Ile-Rousse vous propose une chasse au trésor pour visiter la ville. Grâce aux indices et aux conseils de la guide-conférencière, les enfants deviennent historiens. Un moment ludique à partager.",42.633765,8.940127,L'Île-Rousse,20220,Haute-Corse,Corse,12:00:00,09:30:00,2023-07-11T00:00:00,2023-08-29T23:59:59
11,https://data.datatourisme.fr/13/04e98648-8b26-3ec3-ba1b-2668c8f91467,CulturalSite,2021-01-06,['Pietralba'],['mairie-de-pietralba@wanadoo.fr'],['+33 4 95 48 20 07'],"['foaf:Agent', 'Agent']",,"Situé aux portes de la Balagne, dans la pieve du Canale,  Pietralba est le premier village qui vous accueille en Balagne. Constitué des hameaux du Teto et de Pedano, Pietralba surplombe la vallée et la plage de l’Ostriconi.",42.545647,9.185779,Pietralba,20218,Haute-Corse,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
12,https://data.datatourisme.fr/13/054a6e8c-747b-3c31-bb7f-45fa98f35981,FoodEstablishment,2023-01-18,['Le Brunch'],['lebrunchcalvi@gmail.com'],['+33 6 14 65 25 55'],"['foaf:Agent', 'Agent']",,"Trait d'union entre la formalité d'un déjeuner et la simplicité d'un petit déjeuner, le Brunch à Calvi en Corse, vous propose de découvrir ses assiettes gourmandes, ses Big Burgers ou encore ses Nicci, galettes corses à base de farine de châtaigne.",42.566419,8.757934,Calvi,20260,Haute-Corse,Corse,,,2023-04-01T00:00:00,2023-10-31T23:59:59
13,https://data.datatourisme.fr/13/055acb63-b88d-3a43-ada0-d9c9bd7fcea2,HolidayResort,2023-01-06,['Résidence Santa Maria'],['info@residence-ile-rousse.fr'],['+33 6 25 33 13 49'],"['foaf:Agent', 'Agent']",['https://www.residence-ile-rousse.fr/'],"La Résidence Santa Maria est le lieu idéal pour votre séjour. Située à proximité de la plage et à 500m du centre historique de L'Ile-Rousse, la résidence vous propose 21 studios tout confort et 4 suites avec toutes les prestations d'un établissement luxe.",42.637671,8.934751,L'Île-Rousse,20220,Haute-Corse,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
14,https://data.datatourisme.fr/13/059f8a2a-bf11-3e66-8eac-9b6c8d42682c,Transporter,2022-08-12,['Mariani Excursions en Bus au départ de Calvi'],['garage@autocarsmariani.com'],"['+33 4 95 65 00 47', '+33 4 95 65 04 72']","['foaf:Agent', 'Agent']",['https://www.autocarsmariani.com/'],"Au départ de Calvi, les autocars Mariani vous invitent à découvrir les 5 merveilles de Corse, les vieux villages de Balagne, le Cap Corse et Bastia ainsi que la ville de Corte.",42.568,8.7586,Calvi,20260,Haute-Corse,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
15,https://data.datatourisme.fr/13/05b9955c-69c1-3ca0-be2f-e73940f667a6,FoodEstablishment,2023-02-14,"[""L'Entracte""]",['lentracte@complexe-galaxy.com'],['+33 9 70 71 49 33'],"['foaf:Agent', 'Agent']",['https://www.complexe-galaxy.com/restaurant.html'],"Le Restaurant l'Entracte, propose Burgers, Poke bowl, Bubble Tea sur place ou à emporter à Lecci.",41.672682,9.301979,Lecci,20137,Corse-du-Sud,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
16,https://data.datatourisme.fr/13/05edfeed-1f83-3ba6-be26-b8115a9045a2,HotelTrade,2023-01-24,['Casa Orfea'],['casa.orfea.algajola@gmail.com'],['+33 4 95 57 90 08'],"['foaf:Agent', 'Agent']",['https://www.hotel-algajola-corsica.com/'],"Casa Orfea est un établissement familial situé à Algajola, village de pêcheurs près de Calvi. L’hôtel, au style vintage, offre une atmosphère chaleureuse, entre charme désuet et authenticité. Les mots d’ordre sont simplicité, hospitalité et convivialité.",42.608,8.8637,Algajola,20220,Haute-Corse,Corse,,,2023-01-01T00:00:00,2023-12-31T23:59:59
17,https://data.datatourisme.fr/13/072540af-fcf5-3786-a07f-d9fc79072789,CampingAndCaravanning,2023-03-13,['Golfo di Sogno'],['contact@golfo-di-sogno.fr'],['+33 4 95 70 08 98'],"['foaf:Agent', 'Agent']",['https://www.golfo-di-sogno.fr/'],"Au cœur de son domaine de 28 hectares de pinède et idéalement situé en bord de mer, le camping Golfo di Signo offre aux amateurs de soleil et de grand air un endroit rêvé pour des vacances en toute tranquillité.",41.630087,9.312565,Porto-Vecchio,20137,Corse-du-Sud,Corse,,,2023-04-30T00:00:00,2023-09-29T23:59:59
